Relative Compactness,Surface Area,Wall Area,Roof Area,Overall Height,Orientation,Glazing Area,Glazing Area Distribution,Combined Load
0.98,514.5,294.0,110.25,7.0,2,0.0,0,36.879999999999995
0.98,514.5,294.0,110.25,7.0,3,0.0,0,36.879999999999995
0.98,514.5,294.0,110.25,7.0,4,0.0,0,36.879999999999995
0.98,514.5,294.0,110.25,7.0,5,0.0,0,36.879999999999995
0.9,563.5,318.5,122.5,7.0,2,0.0,0,49.120000000000005
0.9,563.5,318.5,122.5,7.0,3,0.0,0,46.84
0.9,563.5,318.5,122.5,7.0,4,0.0,0,45.870000000000005
0.9,563.5,318.5,122.5,7.0,5,0.0,0,49.28
0.86,588.0,294.0,147.0,7.0,2,0.0,0,46.8
0.86,588.0,294.0,147.0,7.0,3,0.0,0,41.92
0.86,588.0,294.0,147.0,7.0,4,0.0,0,42.83
0.86,588.0,294.0,147.0,7.0,5,0.0,0,46.18
0.82,612.5,318.5,147.0,7.0,2,0.0,0,40.82
0.82,612.5,318.5,147.0,7.0,3,0.0,0,38.870000000000005
0.82,612.5,318.5,147.0,7.0,4,0.0,0,38.11
0.82,612.5,318.5,147.0,7.0,5,0.0,0,40.91
0.79,637.0,343.0,147.0,7.0,2,0.0,0,66.25
0.79,637.0,343.0,147.0,7.0,3,0.0,0,61.17
0.79,637.0,343.0,147.0,7.0,4,0.0,0,60.56
0.79,637.0,343.0,147.0,7.0,5,0.0,0,68.19
0.76,661.5,416.5,122.5,7.0,2,0.0,0,54.56
0.76,661.5,416.5,122.5,7.0,3,0.0,0,53.61
0.76,661.5,416.5,122.5,7.0,4,0.0,0,54.56
0.76,661.5,416.5,122.5,7.0,5,0.0,0,53.33
0.74,686.0,245.0,220.5,3.5,2,0.0,0,16.97
0.74,686.0,245.0,220.5,3.5,3,0.0,0,17.24
0.74,686.0,245.0,220.5,3.5,4,0.0,0,16.95
0.74,686.0,245.0,220.5,3.5,5,0.0,0,17.21
0.71,710.5,269.5,220.5,3.5,2,0.0,0,17.64
0.71,710.5,269.5,220.5,3.5,3,0.0,0,18.12
0.71,710.5,269.5,220.5,3.5,4,0.0,0,17.656
0.71,710.5,269.5,220.5,3.5,5,0.0,0,18.07
0.69,735.0,294.0,220.5,3.5,2,0.0,0,18.59
0.69,735.0,294.0,220.5,3.5,3,0.0,0,18.84
0.69,735.0,294.0,220.5,3.5,4,0.0,0,18.5
0.69,735.0,294.0,220.5,3.5,5,0.0,0,18.74
0.66,759.5,318.5,220.5,3.5,2,0.0,0,19.58
0.66,759.5,318.5,220.5,3.5,3,0.0,0,19.33
0.66,759.5,318.5,220.5,3.5,4,0.0,0,19.5
0.66,759.5,318.5,220.5,3.5,5,0.0,0,19.240000000000002
0.64,784.0,343.0,220.5,3.5,2,0.0,0,27.630000000000003
