Heating Load,Cooling Load
19.68,29.6
12.47,15.14
15.36,19.18
42.5,38.35
24.33,25.98
6.77,11.73
41.26,46.44
10.47,13.65
14.66,17.74
40.4,39.67
27.9,34.2
15.3,18.15
26.28,30.89
10.71,13.8
23.53,27.31
36.06,35.73
15.42,19.34
12.1,15.57
15.36,19.29
14.5,17.12
14.92,17.55
14.37,16.54
28.83,29.36
13.17,16.39
20.84,28.28
6.01,10.94
28.66,34.73
14.03,15.47
10.77,14.14
16.69,19.76
11.14,14.4
13.0,14.28
10.68,14.12
39.97,40.85
11.22,14.44
12.27,15.27
28.05,33.91
12.71,14.14
10.55,13.8
32.75,31.0
33.27,33.88
24.24,25.16
28.42,34.19
13.99,14.61
11.53,13.59
16.64,16.03
14.72,18.1
14.33,16.99
42.62,39.07
6.37,11.27
10.7,13.87
24.17,25.35
25.37,26.95
12.34,14.92
14.48,16.74
13.68,15.19
28.57,29.69
8.49,12.22
14.18,16.99
28.01,32.92
35.67,33.94
35.94,43.33
32.82,32.96
24.96,29.43
12.12,14.97
12.19,14.71
14.52,16.94
28.15,30.0
12.42,15.31
26.45,27.33
12.57,15.42
15.23,18.03
17.02,20.48
14.34,15.32
13.0,15.59
35.05,33.82
17.35,21.19
17.52,21.09
13.04,14.24
13.99,14.35
10.53,13.79
36.77,43.14
14.61,15.07
11.22,14.49
29.71,28.02
32.74,30.53
34.29,33.31
11.45,14.86
15.2,19.43
24.58,26.47
6.79,12.05
34.24,37.26
15.09,15.77
15.09,17.2
14.4,17.27
11.42,14.67
23.86,27.69
15.16,15.76
29.02,33.01
29.4,32.93
10.32,13.57
12.84,16.26
33.27,32.64
12.17,15.2
29.91,29.13
12.74,13.97
29.03,32.92
14.71,17.01
12.28,15.64
19.34,23.49
12.73,15.66
36.26,37.51
31.89,35.99
16.66,20.46
39.86,36.85
17.23,17.38
32.96,33.87
35.78,43.12
12.82,16.03
10.72,14.2
11.69,13.65
35.64,37.28
12.96,14.34
36.7,34.29
40.6,39.85
16.83,19.87
13.0,15.87
40.0,36.26
19.48,22.72
41.3,44.18
29.08,33.93
40.03,37.81
15.19,19.25
36.97,33.87
33.09,33.89
23.54,24.61
10.78,14.18
40.42,39.7
40.12,37.26
15.21,19.32
37.1,35.29
29.27,29.9
17.15,16.99
32.15,36.21
10.37,13.44
12.88,14.37
14.61,17.25
32.84,32.71
38.57,43.86
14.08,17.02
15.55,21.33
24.37,25.11
35.4,39.22
36.45,36.81
29.79,29.92
16.73,20.13
36.66,35.92
19.52,22.72
32.26,33.37
16.77,16.79
14.42,17.2
15.12,15.95
28.64,28.95
26.97,27.25
14.7,16.77
12.46,14.38
40.43,39.48
19.12,21.93
23.75,27.38
14.54,16.43
25.36,32.04
33.12,34.17
29.88,28.31
17.37,21.08
41.67,46.94
15.4,19.24
27.03,25.81
32.48,35.48
32.52,33.85
12.93,14.33
15.23,18.14
31.66,37.72
16.56,20.37
32.75,34.0
10.77,16.75
13.0,14.57
14.54,16.81
19.95,21.97
16.76,20.19
15.16,19.14
29.47,29.45
13.04,14.34
19.06,21.68
15.16,17.04
11.16,14.45
12.95,15.73
25.27,31.73
11.7,13.88
39.01,45.28
24.28,25.68
10.56,16.67
12.45,15.5
23.59,27.57
41.4,45.29
28.86,32.83
14.5,17.03
35.69,36.93
11.33,15.0
29.53,28.99
17.14,20.47
24.59,26.29
14.07,16.11
19.42,22.53
42.08,38.23
10.54,16.8
36.59,36.44
14.34,14.96
12.77,16.22
39.81,37.76
11.16,14.27
32.4,34.07
24.23,25.02
12.73,15.48
18.16,20.71
12.65,15.85
6.366,11.29
24.4,26.02
29.52,28.43
15.16,19.48
15.23,18.14
14.33,17.23
33.28,33.16
32.72,33.78
26.46,27.4
32.12,34.7
11.32,13.32
16.44,17.1
12.03,13.79
29.07,29.82
39.72,39.8
22.8,28.61
35.96,40.99
11.11,14.46
14.1,16.57
15.34,19.32
40.78,39.55
14.47,17.23
32.21,33.76
11.14,14.28
24.38,25.91
36.71,34.18
29.5,29.56
38.82,39.37
15.55,21.33
17.14,17.2
11.59,13.46
24.11,25.84
15.16,19.24
26.91,25.6
12.02,14.03
10.14,13.53
28.63,30.19
14.39,16.7
14.32,16.9
12.97,15.53
16.35,17.14
13.86,16.1
10.07,13.21
11.22,14.65
15.37,19.18
12.45,15.1
10.68,14.21
12.18,15.22
16.48,16.61
41.73,47.59
28.56,29.78
12.68,14.09
12.72,15.78
31.53,37.19
41.09,47.01
22.89,28.88
34.95,35.04
36.86,37.28
16.74,16.0
29.9,31.27
29.34,33.37
12.16,15.18
14.33,15.41
15.34,17.85
35.56,41.68
39.89,37.54
14.6,16.85
23.93,29.68
28.6,30.02
14.56,15.84
40.79,44.87
42.96,39.56
12.63,15.81
12.78,15.21
26.37,27.03
22.58,28.51
14.21,16.74
11.6,13.7
25.98,26.96
14.45,16.93
12.62,14.15
17.5,21.13
24.35,26.14
36.47,39.28
16.62,19.9
12.8,13.99
32.68,36.12
11.34,14.87
35.69,40.66
12.35,14.73
29.47,29.77
23.93,29.4
26.47,31.01
28.69,29.53
35.84,38.35
12.2,14.94
31.12,36.26
36.95,37.2
17.88,21.4
36.96,36.85
14.71,17.39
40.68,40.36
23.8,24.61
15.34,17.86
11.44,14.86
11.43,14.74
29.01,32.85
23.87,24.93
10.36,13.48
12.86,16.13
18.48,21.54
25.43,28.76
16.92,20.29
14.58,17.47
32.33,32.77
11.61,13.83
12.27,14.97
24.63,26.44
31.28,35.22
12.91,15.37
32.72,33.23
12.63,14.23
10.36,13.43
10.46,13.72
15.12,19.26
16.84,20.56
16.54,16.88
10.7,13.87
26.33,31.06
15.12,19.37
14.6,15.3
12.93,15.85
12.5,15.5
24.32,25.87
31.64,36.86
17.14,17.15
19.5,27.3
24.04,26.18
38.35,43.66
14.53,16.9
12.43,15.19
28.88,32.54
28.95,30.34
13.17,16.39
16.76,17.36
13.91,14.89
32.31,29.69
36.43,36.62
19.36,22.73
28.09,34.33
17.11,20.43
17.26,16.86
10.45,13.79
17.69,20.82
28.31,34.15
28.17,30.1
39.83,36.87
16.86,20.01
33.48,33.17
12.97,14.27
32.85,32.95
32.69,33.24
7.1,12.23
6.04,11.17
10.66,13.67
37.24,36.38
24.03,25.88
25.41,31.73
12.86,16.17
28.55,29.59
26.0,27.34
39.04,45.13
15.41,19.23
32.73,34.01
32.31,34.25
29.49,27.93
17.17,17.21
28.7,29.61
12.32,14.92
15.18,19.34
12.47,14.6
24.94,29.88
21.46,25.38
14.66,17.37
11.45,13.2
39.86,38.18
28.41,29.49
15.55,21.33
23.89,24.77
29.06,29.34
15.32,19.42
12.67,15.83
27.03,25.82
11.43,14.83
40.19,37.41
28.64,31.14
18.19,20.21
16.44,17.11
11.13,14.61
31.29,36.73
14.9,18.22
40.57,40.47
24.77,29.79
10.39,13.5
36.57,36.1
14.7,17.0
29.67,30.65
14.42,16.87
18.84,22.49
10.8,14.28
25.48,27.76
28.52,37.73
39.83,36.66
28.75,39.44
36.64,37.01
13.02,14.27
32.4,35.1
12.43,15.59
11.64,14.81
16.99,19.65
13.94,16.7
24.23,25.72
35.45,41.86
18.46,21.53
32.68,32.83
32.46,35.56
24.7,28.77
24.26,26.18
36.91,37.45
14.44,17.32
16.93,20.03
32.39,30.66
12.85,15.52
12.31,15.44
13.18,16.19
12.3,15.44
11.69,13.72
36.86,34.25
35.89,43.3
14.6,17.51
29.92,32.54
12.74,16.14
17.41,21.46
11.07,14.42
14.92,17.79
30.0,29.93
39.31,37.79
12.18,15.03
38.98,45.97
42.11,38.56
26.84,30.17
16.94,16.58
32.06,35.71
24.35,25.64
41.96,37.7
24.31,25.63
19.2,21.72
39.84,38.48
32.21,33.67
35.99,36.07
11.69,14.76
11.09,14.3
16.47,16.9
26.44,27.17
14.28,15.87
10.68,14.3
36.7,36.15
29.14,29.58
11.1,14.67
25.36,31.9
14.96,17.64
12.63,14.58
29.83,29.82
15.29,17.82
24.29,25.95
28.67,29.62
36.57,35.39
42.74,38.84
8.5,12.04
13.05,15.89
38.33,44.16
11.38,14.54
11.46,13.54
13.78,16.6
12.59,14.24
36.13,37.58
14.16,14.61
11.2,14.73
19.13,21.54
14.75,16.44
32.38,33.62
32.41,33.78
31.69,37.12
32.53,33.04
11.42,14.75
14.51,16.5
29.22,31.71
6.85,11.74
10.43,13.71
12.19,14.94
32.46,35.62
33.24,34.5
25.38,26.72
14.6,15.14
32.82,32.78
36.45,33.98
15.36,19.29
10.34,13.36
36.9,34.43
12.25,15.23
6.07,10.9
25.17,26.41
12.43,15.35
28.65,33.54
12.49,15.32
25.49,28.14
28.05,32.35
7.18,12.4
27.02,25.63
39.68,40.1
14.51,17.1
10.68,13.77
29.54,33.98
32.12,34.07
42.49,38.81
14.65,15.38
34.72,38.79
28.61,30.2
14.71,17.51
35.73,39.92
10.39,13.7
32.24,33.94
33.08,34.11
36.97,35.1
12.76,15.33
20.71,25.16
36.95,36.87
11.68,13.9
18.88,22.07
10.85,16.78
25.74,28.27
25.37,31.76
29.08,29.52
32.07,36.16
12.93,15.83
28.37,29.28
11.34,14.81
11.11,14.28
32.74,33.88
16.86,20.28
32.38,31.53
35.48,41.26
36.52,37.29
18.9,22.09
13.0,14.47
6.4,11.67
10.35,13.65
12.73,13.89
38.67,43.8
29.63,30.93
32.71,33.13
24.13,26.13
33.13,32.25
24.63,26.37
26.45,31.28
28.07,34.14
29.87,29.87
37.12,35.28
40.11,40.77
29.06,33.84
14.66,15.64
40.71,40.63
36.28,37.35
14.22,15.39
35.48,41.22
12.29,15.4
12.87,15.85
36.06,34.94
12.36,14.67
37.26,34.62
28.62,30.12
12.28,14.74
24.77,29.79
6.81,11.93
13.02,16.06
31.84,31.6
26.19,31.39
12.12,14.48
29.39,33.47
15.23,17.95
35.01,33.14
10.7,13.75
10.08,13.2
41.32,46.23
28.67,32.43
14.55,17.25
23.84,27.54
18.71,20.72
12.49,15.09
13.95,14.89
13.97,16.08
6.4,11.72
8.45,12.08
12.41,15.28
6.05,11.19
25.7,26.53
14.19,16.62
41.92,48.03
25.17,26.08
31.63,36.35
32.94,34.14
14.62,16.88
32.05,30.11
14.12,16.63
12.57,15.44
15.18,17.63
19.0,22.25
15.09,18.36
29.62,30.08
38.65,43.73
12.3,15.24
28.67,29.43
41.64,45.59
31.81,31.2
28.15,30.19
14.62,17.22
40.78,39.48
25.66,26.3
38.84,45.48
39.97,36.77
15.98,24.93
33.21,34.35
16.55,16.56
10.42,13.39
16.9,16.79
39.32,38.17
38.89,39.66
32.67,32.12
32.13,32.28
30.05,28.61
15.29,17.89
36.03,42.86
10.15,13.36
11.18,14.29
14.17,16.94
26.48,30.91
40.15,40.4
18.48,20.78
32.33,34.48
14.37,16.61
32.09,31.7
33.28,34.11
11.16,14.39
10.64,13.67
15.09,18.36
32.23,33.86
28.4,34.52
15.08,15.77
37.03,34.99
32.26,33.34
28.15,29.79
28.18,30.18
32.31,34.05
15.19,19.3
33.16,33.91
8.6,12.07
